"";"TALHAO_PAR";"b0";"b1";"Rsqr";"Std.Error"
"3654_101";"3654_101";3,8032575977371;-7,26954435535877;0,678026755891635;0,0174468354185494
"3654_102";"3654_102";4,17402298937511;-13,7504640595274;0,690768894170948;0,0239837635460625
"3654_103";"3654_103";3,85139082547394;-8,43937046267902;0,360676661623126;0,0446068374539011
"3654_104";"3654_104";3,65679644609645;-5,19536481980264;0,172643512473664;0,0314526791305925
"3654_105";"3654_105";3,7203609756835;-6,1940406379931;0,63109686404071;0,0182430522642973
"3654_106";"3654_106";3,46534406746614;-1,87001532180748;-0,00879955193176118;0,0268736723972794
"3654_107";"3654_107";4,09954722190403;-13,0050299472304;0,589929761723527;0,0391900426336969
"3654_109";"3654_109";3,91394228910944;-10,4464805817147;0,747098296341925;0,0339373249592172
"3654_110";"3654_110";3,81847107051377;-7,11586406122965;0,871018715066074;0,0144133575925929
"3654_111";"3654_111";3,97536490566971;-11,2045907178163;0,972232836307748;0,0117697590359931
"3654_112";"3654_112";3,85422588474074;-7,56220538792695;0,801513672245089;0,0193454091286063
"3654_113";"3654_113";3,80642112843027;-7,71573029047292;0,733282054902911;0,0227050216089914
"3654_114";"3654_114";3,90453584225496;-9,71360754517757;0,495893156672055;0,0194204294539769
"3654_115";"3654_115";3,99123575775202;-11,077393485421;0,420811439005471;0,0280429939685207
"3654_116";"3654_116";3,81917675137369;-8,0215553022376;0,459711406978067;0,0302388972174126
"3654_117";"3654_117";4,31785310455778;-17,8238840499788;0,622396190897628;0,0666157660693467
"3654_118";"3654_118";3,91454495814553;-9,9188579683497;0,869375256249214;0,0214314240738251
"3654_119";"3654_119";3,98379042220146;-11,1005103360712;0,864051262346361;0,0281748355170611
"3654_120";"3654_120";3,94574691419517;-11,0111772222472;0,569627903789099;0,0353098922085483
"3656_101";"3656_101";3,28040301232437;-3,56586752077973;0,209543652058444;0,0295092684586639
"3656_102";"3656_102";3,29741562977013;-4,27679893404123;0,765108122549075;0,0148649420409985
"3656_103";"3656_103";3,35032530821971;-5,06884129675796;0,802128589964214;0,0141816927896456
"3656_104";"3656_104";3,37096834351975;-5,60734528415574;0,0619433637998057;0,0234548100418621
"3656_105";"3656_105";3,36543515751645;-4,0719048407186;-0,0181943655826251;0,0374743489504311
"3656_106";"3656_106";3,31319379902815;-3,45169616917196;0,840375118207781;0,0120138381320929
"3656_107";"3656_107";3,67348445190647;-8,94744005098415;0,956109942917711;0,0133850525267405
"3656_108";"3656_108";3,42236616456388;-4,96572083081989;0,755807404908557;0,00992808659304396
"3656_109";"3656_109";3,27843829154449;-4,23227797630306;0,535092659907207;0,0258988597887173
"3656_110";"3656_110";3,53110964869545;-4,84881875092431;0,208071384656342;0,0510511629225817
"3656_111";"3656_111";3,19558076965092;-2,27715561333411;0,218662657445962;0,0241879501315007
"3656_112";"3656_112";3,32307111349712;-3,41407351907952;0,0747791538588233;0,0312906265810878
"3656_113";"3656_113";3,44093337793559;-5,38646736919709;0,97168130222452;0,0148259470849862
"3656_114";"3656_114";3,48788379599185;-6,02411785091814;0,533649637619076;0,0308422695633655
"3656_115";"3656_115";3,5313255899255;-6,71521530513645;0,750875975089919;0,0201142988405678
"3656_116";"3656_116";3,4345809716304;-5,70844589190208;0,958800913391589;0,00715084718613359
"3656_117";"3656_117";3,26809904816341;-3,84080574039266;0,641697623764114;0,0269908413555746
"3656_118";"3656_118";3,30671566136525;-3,53823672044575;-0,0597376006922401;0,033150625762175
"3656_119";"3656_119";3,45279931104304;-5,15108966159809;0,632030132889118;0,0263402879878222
"3661_101";"3661_101";3,6683272650315;-6,66589823239739;0,79152471372429;0,0154667762398188
"3661_102";"3661_102";3,59578826137672;-5,18400508752464;0,38782126189442;0,0202404524252803
"3661_103";"3661_103";3,74959713118022;-8,08236422641863;0,595560100982128;0,0165443724486489
"3661_104";"3661_104";3,19119476103571;2,01831149034467;-0,146252139940579;0,0328651302687955
"3661_105";"3661_105";3,54163338669832;-4,69207758954353;0,636986820989886;0,0164499519599128
"3661_106";"3661_106";3,65132121311967;-6,53094686511408;0,49865839368689;0,0193519530561277
"3661_107";"3661_107";3,68230007745587;-7,11888259139051;0,223431992328673;0,0321726281291477
"3661_108";"3661_108";3,74303184708211;-8,93787402828075;0,51673438255936;0,0314198984143512
"3661_109";"3661_109";3,68195590990365;-8,59798810663013;0,54408974619231;0,030546045375925
"3661_110";"3661_110";3,45851927901698;-3,68707705448728;0,0544743758123553;0,0293822100075593
"3661_111";"3661_111";3,60756633797473;-7,70361784590733;0,554570526412233;0,0176077130334929
"3661_112";"3661_112";3,4624403315879;-3,43685561477655;0,24811448298271;0,0221514885438571
"3661_113";"3661_113";3,54248531097672;-5,55287607882924;0,362482519791424;0,0367037706116558
"3661_114";"3661_114";3,37925026667384;-2,24169448824667;0,242575869057257;0,0429343329087501
"3661_115";"3661_115";3,47068180692335;-3,55491146777453;0,0463901135598295;0,0151693066546241
"3661_116";"3661_116";3,81981853997523;-10,7947020008413;0,688773342950435;0,0268177920331907
"3661_117";"3661_117";3,46393281077197;-3,70656574027822;0,149518011649086;0,0306222283931434
"3661_118";"3661_118";3,56130299879252;-5,33252188971853;0,144981270744166;0,0417183228521855
"3661_119";"3661_119";3,7867903992425;-8,62134933672685;0,676845975003624;0,0274097512856486
"3661_120";"3661_120";3,81675555443285;-9,27349397113029;0,698876809763855;0,0285199562730552
"3662_101";"3662_101";3,53774187307031;-4,3868695744696;0,34720043676153;0,0145407170187242
"3662_102";"3662_102";3,6372224908836;-5,70194014722199;0,533769974140483;0,0260195876778002
"3662_103";"3662_103";3,78534423634562;-8,71536394572055;0,310147128559923;0,0311458410239944
"3662_104";"3662_104";3,67324958924749;-6,77896166388438;0,77417284373273;0,019282498766895
"3662_105";"3662_105";3,66694820182561;-6,60281940863646;0,560305724693018;0,0290279315464296
